,area_type,availability,size,total_sqft,bath,balcony,price,Electronic City,Hebbal,Kanakpura Road,Marathahalli,Raja Rajeshwari Nagar,Sarjapur  Road,Thanisandra,Uttarahalli,Whitefield,Yelahanka
25,1,0,3,1250.0,3.0,2.0,56.0,0,0,0,0,0,0,0,0,0,0
26,1,1,2,660.0,1.0,1.0,23.1,1,0,0,0,0,0,0,0,0,0
27,2,0,3,1610.0,3.0,2.0,81.0,0,0,0,0,0,0,0,0,1,0
28,1,0,2,1151.0,2.0,2.0,48.77,0,0,0,0,0,0,0,0,0,0
29,1,1,3,1025.0,2.0,1.0,47.0,1,0,0,0,0,0,0,0,0,0
30,1,0,4,2475.0,4.0,0.0,186.0,0,0,0,0,0,0,0,0,0,1
31,1,1,3,1075.0,2.0,1.0,35.0,0,0,0,0,0,0,0,0,0,0
32,1,1,3,1760.0,2.0,2.0,123.0,0,1,0,0,0,0,0,0,0,0
33,1,1,3,1693.0,3.0,3.0,57.39,0,0,0,0,1,0,0,0,0,0
34,2,1,3,1925.0,3.0,2.0,125.0,0,0,0,0,0,0,0,0,0,0
35,1,0,2,700.0,2.0,1.0,36.0,0,0,1,0,0,0,0,0,0,0
36,1,1,2,1070.0,2.0,1.0,45.5,0,0,0,0,0,0,0,0,0,0
37,1,1,3,1724.0,3.0,2.0,125.0,0,0,0,0,0,0,0,0,0,0
38,1,1,3,1290.0,2.0,2.0,56.12,0,0,0,0,0,0,0,0,0,0
39,2,1,2,1143.0,2.0,2.0,45.0,0,0,0,0,0,0,0,1,0,0
40,2,1,2,1296.0,2.0,2.0,81.0,0,0,0,0,0,0,0,0,0,0
41,1,0,3,1254.0,3.0,2.0,38.0,0,0,0,0,0,1,0,0,0,0
42,1,1,1,600.0,1.0,0.0,38.0,0,0,0,0,0,0,0,0,0,0
43,3,1,1,660.0,1.0,0.0,48.0,0,0,0,0,0,0,0,0,0,1
44,1,0,2,1330.74,2.0,2.0,91.79,0,0,1,0,0,0,0,0,0,0
45,3,1,8,600.0,9.0,2.0,200.0,0,0,0,0,0,0,0,0,0,0
46,1,1,2,970.0,2.0,0.0,33.0,0,0,0,0,0,0,0,0,0,0
47,1,0,2,1459.0,2.0,1.0,94.82,0,0,0,0,0,0,0,0,1,0
48,3,1,2,800.0,1.0,1.0,130.0,0,0,0,0,0,0,0,0,0,0
49,2,1,2,869.0,2.0,1.0,36.0,0,0,0,0,0,0,0,0,0,0
50,1,1,2,1270.0,2.0,1.0,50.0,0,0,0,0,0,0,0,0,0,0
51,1,0,3,1670.0,3.0,1.0,99.0,0,0,0,0,0,0,0,0,0,0
52,2,1,3,2010.0,3.0,2.0,91.0,0,0,0,0,0,0,0,0,1,0
53,1,1,2,1185.0,2.0,2.0,75.0,0,0,0,0,0,0,0,0,0,0
54,1,1,3,1600.0,2.0,3.0,75.0,0,0,0,0,0,0,0,0,0,1
55,1,1,2,1200.0,2.0,2.0,44.0,0,0,0,0,0,0,0,0,0,0
56,2,0,4,3210.0,2.0,2.0,192.0,0,0,0,0,0,0,0,0,0,0
57,1,1,2,1500.0,2.0,2.0,185.0,0,0,0,0,0,0,0,0,0,0
58,3,1,6,1407.0,4.0,1.0,150.0,0,0,0,0,0,0,0,0,0,0
59,1,1,2,840.0,2.0,2.0,45.0,0,0,0,0,0,0,0,0,0,0
60,3,1,3,4395.0,3.0,2.0,240.0,0,0,0,0,0,0,0,0,0,0
61,1,1,2,845.0,2.0,1.0,55.0,0,0,0,0,0,0,0,0,0,0
62,3,1,4,5700.0,5.0,3.0,650.0,0,0,0,0,0,0,0,0,1,0
63,2,1,2,1160.0,2.0,2.0,44.0,0,0,0,0,0,0,0,0,0,0
64,2,1,8,3000.0,8.0,0.0,140.0,0,0,0,0,0,0,0,0,0,0
65,1,1,2,1100.0,2.0,1.0,62.0,0,0,0,0,0,0,0,0,0,0
66,1,0,2,1140.0,2.0,3.0,43.0,0,0,0,0,0,0,0,0,0,0
67,1,1,2,1220.0,2.0,1.0,57.0,0,0,0,1,0,0,0,0,0,0
68,3,1,8,1350.0,7.0,0.0,85.0,0,0,0,0,0,0,0,0,0,0
69,1,1,2,1005.0,2.0,1.0,36.68,0,0,1,0,0,0,0,0,0,0
70,3,1,3,500.0,3.0,2.0,100.0,0,0,0,0,0,0,0,0,0,0
71,1,0,2,1358.0,2.0,1.0,80.58,0,0,0,0,0,0,0,0,0,0
72,1,1,3,1569.0,3.0,1.0,101.0,0,0,0,0,0,0,0,0,0,0
73,1,0,2,1240.0,2.0,1.0,70.0,0,0,0,0,0,0,0,0,0,0
74,1,1,3,2089.0,3.0,2.0,140.0,0,0,0,0,0,0,0,0,0,0
75,1,1,2,1206.0,2.0,1.0,48.23,0,0,0,0,0,0,0,0,0,0
76,1,1,2,1150.0,2.0,3.0,40.0,0,0,0,0,0,0,0,0,0,0
77,2,1,3,2511.0,3.0,3.0,205.0,0,0,0,0,0,0,0,0,0,0
78,2,1,2,460.0,1.0,0.0,22.0,0,0,0,0,0,0,0,0,0,0
79,2,1,6,4400.0,6.0,3.0,250.0,0,0,0,0,0,0,0,0,0,0
80,1,1,3,1660.0,2.0,2.0,105.0,0,0,0,0,0,0,0,0,0,0
81,2,0,4,3203.5,2.0,2.0,224.5,0,0,0,0,0,0,0,0,0,0
82,1,0,2,1326.0,2.0,2.0,78.0,0,0,0,0,0,0,0,0,0,1
83,1,1,3,1325.0,2.0,2.0,60.8,0,0,0,0,0,0,0,0,0,0
85,2,1,6,3000.0,7.0,2.0,210.0,0,0,0,0,0,0,0,0,0,0
86,1,1,3,1665.0,3.0,2.0,88.0,0,0,1,0,0,0,0,0,0,0
87,1,0,2,708.0,2.0,2.0,37.0,0,0,0,0,0,0,0,0,0,0
88,1,1,2,1060.0,2.0,2.0,58.06,0,0,0,0,0,0,0,0,0,0
89,3,1,6,710.0,6.0,3.0,160.0,0,0,0,0,0,0,0,0,0,0
90,2,1,2,1000.0,2.0,2.0,70.0,0,0,0,0,0,0,0,0,0,0
91,1,0,2,1000.0,2.0,1.0,28.88,1,0,0,0,0,0,0,0,0,0
92,1,1,3,1450.0,2.0,2.0,70.0,0,0,0,0,0,0,0,0,0,0
93,3,1,4,1200.0,4.0,2.0,155.0,0,0,0,0,0,0,0,0,0,0
94,1,0,2,1296.0,2.0,3.0,80.0,0,0,0,0,0,0,1,0,0,0
95,1,1,3,1540.0,3.0,2.0,90.0,0,0,0,0,0,0,0,0,0,0
96,3,1,4,2894.0,4.0,1.0,245.0,0,0,0,0,0,0,0,0,0,0
97,1,1,3,1330.0,2.0,1.0,48.0,0,0,0,0,0,0,0,0,0,0
98,2,1,2,1200.0,2.0,1.0,65.0,0,0,0,0,0,0,0,0,0,0
99,2,1,3,1200.0,3.0,1.0,90.0,0,0,0,0,0,0,0,0,0,0
100,1,1,3,2502.0,3.0,3.0,138.0,0,0,0,0,0,0,0,0,0,0
101,2,1,2,650.0,1.0,1.0,17.0,0,0,0,0,0,0,0,0,0,0
102,3,1,3,2400.0,2.0,1.0,150.0,0,0,0,0,0,0,0,0,0,0
103,1,1,2,1007.0,2.0,2.0,43.0,0,0,0,0,0,0,0,0,0,0
104,1,1,2,1200.0,2.0,2.0,50.0,0,0,0,0,0,0,0,0,0,0
105,1,1,2,966.0,2.0,2.0,49.9,0,0,0,0,0,0,0,0,0,0
106,2,1,3,1630.0,2.0,1.0,98.0,0,0,0,0,0,0,0,0,0,0
107,2,1,3,1640.0,3.0,2.0,229.0,0,0,0,0,0,0,0,0,0,0
108,2,1,2,782.0,2.0,2.0,55.68,0,0,0,0,0,0,0,0,0,0
109,1,0,2,1260.0,2.0,2.0,66.78,0,0,0,0,0,0,0,0,0,0
110,1,1,3,1800.0,3.0,3.0,120.0,0,0,0,0,0,0,0,0,0,0
111,1,1,3,1413.0,2.0,2.0,75.0,0,0,0,0,0,0,0,0,0,0
112,1,1,2,1116.0,2.0,1.0,51.91,0,0,0,0,0,0,0,0,1,0
113,1,1,3,1530.0,2.0,1.0,45.9,1,0,0,0,0,0,0,0,0,0
114,2,1,4,3700.0,4.0,1.0,225.0,0,0,0,0,0,0,0,0,0,0
115,2,1,3,2497.0,3.0,2.0,140.0,0,0,0,0,0,1,0,0,0,0
116,1,1,3,1540.0,2.0,3.0,64.0,0,0,0,0,0,0,0,0,0,0
117,1,0,3,1436.0,3.0,1.0,74.75,0,0,0,0,0,0,1,0,0,0
118,1,0,2,1100.0,2.0,2.0,75.0,0,0,0,0,0,0,0,0,0,0
119,3,1,2,276.0,3.0,3.0,23.0,0,0,0,0,0,0,0,0,0,0
120,1,1,3,1427.0,3.0,2.0,120.0,0,0,0,0,0,0,1,0,0,0
121,1,1,3,2061.0,3.0,1.0,200.0,0,0,0,0,0,0,0,0,0,0
122,1,0,4,5611.5,4.0,0.0,477.0,0,1,0,0,0,0,0,0,0,0
123,2,1,4,2650.0,4.0,2.0,150.0,0,0,0,0,0,0,0,0,0,0
124,1,0,3,1282.0,2.0,2.0,68.52,0,0,0,0,0,0,0,0,0,0
125,2,1,2,1050.0,2.0,1.0,34.0,0,0,0,0,0,0,0,0,0,0
126,2,1,3,1600.0,3.0,2.0,65.0,0,0,0,0,0,0,0,0,0,0
127,1,0,2,945.0,2.0,1.0,54.0,0,0,0,0,0,0,0,0,0,0
128,1,1,2,1500.0,2.0,1.0,78.0,0,0,0,0,0,0,0,0,0,0
129,3,1,7,950.0,7.0,0.0,115.0,0,0,0,0,0,0,0,0,0,0
130,2,1,3,1870.0,3.0,3.0,110.0,0,0,0,0,0,0,0,0,0,0
131,3,1,3,1600.0,3.0,1.0,75.0,0,0,0,0,0,0,0,0,0,0
132,1,1,2,880.0,1.0,1.0,16.5,1,0,0,0,0,0,0,0,0,0
133,3,1,4,1200.0,4.0,0.0,210.0,0,0,0,0,0,0,0,0,0,0
134,1,1,3,1535.0,3.0,2.0,83.0,0,0,0,0,0,0,0,0,0,0
135,2,1,2,950.0,2.0,1.0,57.0,0,0,1,0,0,0,0,0,0,0
136,1,0,2,1360.0,2.0,1.0,65.0,0,0,0,0,0,0,0,0,0,0
137,1,0,2,1073.5,2.0,0.0,54.005,0,0,0,0,0,0,0,0,0,0
138,1,0,3,1280.0,3.0,1.0,50.4,0,0,0,0,0,0,0,0,0,0
139,1,0,3,1260.0,2.0,2.0,85.05,0,0,0,0,0,0,0,0,0,0
140,2,1,8,5000.0,8.0,2.0,250.0,0,0,0,0,0,0,0,0,0,0
141,1,0,5,3050.0,5.0,1.0,213.0,0,0,0,0,0,0,0,0,0,1
142,1,1,3,1563.05,3.0,1.0,105.0,0,0,0,0,0,0,0,0,0,0
143,1,1,2,1000.0,2.0,1.0,60.0,0,0,0,0,0,0,0,0,0,0
144,1,0,2,1167.0,2.0,1.0,43.76,0,0,0,0,0,0,0,0,0,0
145,1,1,7,4000.0,7.0,2.0,225.0,0,0,0,0,0,0,0,0,0,0
146,1,1,3,1828.0,3.0,2.0,110.0,0,0,0,0,0,0,0,0,0,0
147,1,1,2,890.0,2.0,1.0,35.0,0,0,0,0,0,0,0,0,0,0
148,1,1,3,1612.0,3.0,3.0,46.74,0,0,0,0,0,0,0,0,0,0
149,3,1,6,1034.0,5.0,2.0,185.0,0,0,0,0,0,0,0,0,0,0
150,1,0,3,1710.0,4.0,2.0,91.31,0,0,0,0,0,0,0,0,0,0
151,1,1,2,957.0,2.0,1.0,58.0,0,0,0,0,0,0,0,0,0,0
152,1,0,3,1250.0,2.0,3.0,44.0,0,0,0,0,0,0,0,0,0,0
153,1,1,3,2795.0,4.0,2.0,235.0,0,0,0,0,0,0,0,0,0,0
154,1,1,2,1125.0,2.0,2.0,50.0,0,0,0,0,0,0,0,0,0,0
155,1,0,2,1020.0,2.0,1.0,30.6,0,0,0,0,0,0,0,0,0,0
156,1,1,2,1200.0,2.0,2.0,50.0,0,0,0,0,0,0,0,0,0,0
157,1,1,3,1735.0,3.0,3.0,135.0,0,0,0,0,0,0,1,0,0,0
158,1,1,3,2050.0,3.0,1.0,145.0,0,0,0,0,0,0,1,0,0,0
159,3,1,4,3750.0,4.0,0.0,760.0,0,0,0,0,0,0,0,0,0,0
160,2,1,3,1350.0,2.0,3.0,48.0,0,0,0,0,0,0,0,0,0,0
161,1,0,2,1063.0,2.0,1.0,32.0,0,0,0,0,0,0,0,0,0,0
162,1,1,3,1904.0,3.0,1.0,150.0,0,0,0,0,0,0,0,0,0,0
163,2,1,4,4200.0,4.0,2.0,420.0,0,0,0,0,0,0,0,0,1,0
164,1,1,3,2000.0,3.0,1.0,175.0,0,0,0,0,0,0,0,0,0,0
165,1,0,2,1242.5,2.0,0.0,43.49,0,0,0,0,0,0,0,0,0,0
166,1,1,3,1425.0,2.0,2.0,75.0,0,0,0,0,0,0,0,0,0,0
167,1,1,3,1500.0,2.0,1.0,64.5,1,0,0,0,0,0,0,0,0,0
168,2,1,2,1060.0,2.0,1.0,60.0,1,0,0,0,0,0,0,0,0,0
169,2,1,3,1470.0,2.0,2.0,70.0,0,0,0,0,0,0,0,0,0,0
170,1,1,6,1300.0,6.0,0.0,99.0,0,0,0,0,0,0,0,0,0,0
171,1,1,1,450.0,1.0,1.0,11.0,0,0,0,0,0,0,0,0,0,0
172,1,0,2,1152.0,2.0,1.0,64.5,1,0,0,0,0,0,0,0,0,0
173,1,1,3,1350.0,2.0,1.0,56.0,1,0,0,0,0,0,0,0,0,0
174,1,1,3,1550.0,3.0,3.0,65.0,0,0,0,0,0,0,0,0,0,0
175,3,1,3,1500.0,3.0,2.0,100.0,0,0,0,0,0,0,0,0,0,0
176,3,1,5,600.0,3.0,2.0,85.0,0,0,0,0,0,0,0,0,0,0
177,3,1,1,400.0,1.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0
178,1,1,1,705.0,1.0,2.0,67.0,0,0,0,0,0,0,0,0,0,0
179,2,1,2,770.0,1.0,1.0,36.0,1,0,0,0,0,0,0,0,0,0
180,1,1,2,1242.0,2.0,3.0,51.0,0,0,0,0,0,0,0,0,0,0
181,1,1,3,1700.0,3.0,2.0,155.0,0,0,0,0,0,0,0,0,0,0
182,1,1,3,2144.0,3.0,2.0,145.0,0,0,0,0,0,0,1,0,0,0
183,1,0,3,1704.0,3.0,2.0,110.0,0,0,0,0,0,0,0,0,0,0
184,1,1,2,1070.0,2.0,1.0,52.0,1,0,0,0,0,0,0,0,0,0
185,3,1,3,1846.0,3.0,2.0,300.0,0,0,0,0,0,0,0,0,0,0
186,1,1,2,1340.0,2.0,2.0,55.7,0,0,0,0,0,0,0,0,0,0
187,2,1,2,1025.0,2.0,1.0,46.0,1,0,0,0,0,0,0,0,0,0
188,1,1,2,1277.5,2.0,0.0,56.8,0,0,0,0,0,0,0,0,0,0
189,1,1,2,1200.0,2.0,2.0,52.0,0,0,0,1,0,0,0,0,0,0
190,2,0,4,2250.0,4.0,1.0,110.0,0,0,1,0,0,0,0,0,0,0
191,1,1,3,1550.0,2.0,3.0,80.0,0,0,0,0,0,0,0,0,0,0
192,3,1,4,1200.0,5.0,2.0,325.0,0,0,0,0,0,0,0,0,0,0
193,3,1,7,1800.0,7.0,1.0,250.0,0,0,0,0,0,0,0,0,0,0
194,1,1,2,1200.0,2.0,2.0,60.0,0,0,0,1,0,0,0,0,0,0
195,1,1,2,1327.0,2.0,2.0,98.0,0,0,0,0,0,0,0,0,0,1
196,1,1,2,1186.0,2.0,2.0,58.0,0,0,0,0,0,0,0,0,0,0
197,2,1,3,1783.0,3.0,1.0,115.0,0,0,0,0,0,0,0,0,0,0
198,1,1,3,1400.0,3.0,2.0,56.0,0,0,0,0,0,0,0,0,0,0
199,1,1,2,980.0,2.0,1.0,48.0,0,0,0,0,0,0,0,0,0,0
200,1,1,2,1285.0,2.0,2.0,82.0,0,0,0,0,0,0,0,0,0,0
201,1,1,3,912.0,2.0,1.0,70.0,0,0,0,0,0,0,0,0,0,0
202,2,1,2,1225.0,2.0,2.0,47.6,0,0,0,0,0,0,0,0,1,0
203,1,1,2,1075.0,2.0,1.0,53.0,0,0,0,0,0,0,0,0,1,0
204,2,1,3,1260.0,2.0,2.0,54.0,0,0,0,0,0,0,0,0,0,0
205,1,1,3,1282.0,2.0,2.0,48.7,0,0,0,0,0,0,0,0,0,1
206,1,1,3,1909.0,3.0,2.0,88.0,0,0,0,0,0,0,0,0,0,0
207,1,1,2,1359.0,2.0,1.0,87.0,0,0,0,0,0,0,0,0,0,0
208,2,1,2,1207.0,2.0,2.0,43.5,0,0,0,0,0,0,0,0,0,0
210,1,0,4,2850.0,4.0,1.0,428.0,0,0,0,0,0,0,0,0,0,0
211,1,1,3,1595.0,3.0,2.0,65.0,0,0,0,0,0,0,0,0,0,0
212,2,0,3,1798.0,3.0,2.0,89.0,0,0,0,0,0,0,0,0,0,0
213,1,1,3,1475.0,3.0,2.0,78.29,0,0,0,0,0,0,0,0,0,0
214,1,1,3,1580.0,3.0,3.0,100.0,0,0,0,0,0,0,0,0,0,0
215,1,1,2,1295.0,2.0,1.0,65.0,0,0,0,0,0,0,0,0,0,0
216,2,1,6,3600.0,6.0,0.0,141.0,0,0,0,0,0,0,0,0,0,0
217,1,1,1,589.0,1.0,1.0,27.0,1,0,0,0,0,0,0,0,0,0
218,1,1,3,1415.0,3.0,3.0,78.0,0,0,0,0,0,0,0,0,0,0
219,1,0,3,1787.0,3.0,2.0,98.29,0,0,0,0,0,1,0,0,0,0
220,1,1,3,1787.0,3.0,2.0,125.0,0,0,0,0,0,1,0,0,0,0
221,1,1,3,1475.0,2.0,3.0,90.0,0,0,0,0,0,0,0,0,0,0
222,2,1,4,2000.0,4.0,1.0,75.5,0,0,0,0,0,0,0,0,0,0
223,1,0,2,984.0,2.0,1.0,44.28,0,0,0,0,0,1,0,0,0,0
224,1,0,3,1630.0,2.0,2.0,74.82,0,0,0,0,0,0,0,0,0,0
225,1,1,3,2405.0,4.0,2.0,260.0,0,0,0,0,0,0,0,0,0,0
226,2,1,2,1080.0,2.0,2.0,72.0,0,0,0,0,0,0,0,0,0,0
227,3,1,2,1500.0,2.0,1.0,115.0,0,0,0,0,0,0,0,0,0,0
228,1,1,3,1900.0,3.0,2.0,119.0,0,1,0,0,0,0,0,0,0,0
229,1,0,2,805.0,2.0,1.0,22.14,0,0,0,0,0,0,0,0,0,0
230,1,1,2,1153.0,2.0,2.0,56.4,0,0,0,0,0,0,0,0,0,0
231,1,1,2,1148.0,2.0,2.0,60.0,0,0,0,0,0,0,0,0,0,0
232,1,1,2,1110.0,2.0,2.0,55.0,0,0,0,0,0,0,0,0,0,0
233,2,1,2,1100.0,2.0,2.0,42.0,1,0,0,0,0,0,0,0,0,0
234,1,1,2,1290.0,2.0,2.0,110.0,0,0,0,0,0,0,0,0,0,0
235,1,1,3,1500.0,2.0,1.0,65.0,0,0,0,0,0,0,0,0,0,0
236,1,0,2,1080.0,2.0,2.0,39.0,0,0,0,0,0,0,0,0,0,0
237,1,0,3,1933.0,3.0,1.0,129.0,0,0,0,0,0,0,0,0,0,0
238,2,1,5,3500.0,5.0,2.0,150.0,0,0,0,0,0,0,0,0,0,0
239,2,1,2,1060.0,2.0,2.0,60.0,0,0,0,0,0,0,0,0,0,0
240,1,0,1,645.0,1.0,1.0,16.45,0,0,0,0,0,0,0,0,0,0
241,3,1,8,2600.0,8.0,2.0,180.0,0,0,0,0,0,0,0,0,0,0
242,1,0,1,645.0,1.0,1.0,16.45,0,0,0,0,0,0,0,0,0,0
243,1,1,3,1644.0,3.0,3.0,84.0,0,0,0,0,0,0,0,0,0,0
244,1,1,2,1285.0,2.0,3.0,72.5,0,0,0,0,0,0,0,0,0,0
245,3,1,3,1200.0,3.0,1.0,90.0,1,0,0,0,0,0,0,0,0,0
246,1,1,2,910.0,2.0,1.0,40.0,1,0,0,0,0,0,0,0,0,0
247,1,1,3,1577.0,3.0,1.0,70.0,0,0,0,0,0,0,0,0,0,0
248,3,0,3,4050.0,3.0,2.0,280.0,0,0,0,0,0,0,0,0,0,0
249,1,1,3,2420.0,3.0,2.0,185.0,0,0,0,0,0,0,0,0,0,0
250,1,1,2,800.0,1.0,1.0,20.0,0,0,0,0,0,0,0,0,0,0
251,2,1,2,1060.0,2.0,2.0,55.0,0,0,0,0,0,0,0,0,0,0
252,1,1,2,1270.0,2.0,2.0,93.0,0,0,0,0,0,0,0,0,0,0
253,1,0,2,900.0,2.0,2.0,22.5,0,0,0,0,0,0,0,0,0,0
254,2,1,2,1280.0,2.0,1.0,69.0,0,0,0,0,0,0,0,0,0,0
255,3,1,4,1200.0,2.0,0.0,95.0,0,0,0,0,0,0,0,0,0,0
256,2,1,2,1025.0,2.0,2.0,36.0,0,0,0,0,0,1,0,0,0,0
257,1,0,2,1108.0,2.0,1.0,63.0,1,0,0,0,0,0,0,0,0,0
258,3,1,5,1200.0,5.0,2.0,170.0,0,0,0,0,0,0,0,0,0,0
259,1,1,3,3045.0,3.0,2.0,170.0,0,0,0,0,0,0,0,0,0,0
260,3,1,4,2900.0,3.0,2.0,300.0,0,0,0,0,0,0,0,0,0,0
261,1,1,3,1500.0,3.0,2.0,75.5,0,0,0,0,0,0,0,0,0,0
262,1,1,2,1295.0,2.0,2.0,43.9,0,0,0,0,1,0,0,0,0,0
263,1,1,2,1162.0,2.0,1.0,59.9,0,0,0,0,0,0,0,0,0,0
264,1,1,2,1035.0,2.0,2.0,49.2,0,0,0,0,0,1,0,0,0,0
265,2,1,4,1600.0,4.0,0.0,52.8,0,0,0,0,0,0,0,0,0,0
266,1,1,3,1464.0,3.0,2.0,46.0,0,0,0,0,0,0,0,0,0,0
267,1,0,3,1866.0,2.0,2.0,61.58,0,0,0,0,0,0,0,0,0,0
268,1,1,2,700.0,1.0,1.0,26.0,0,0,0,0,0,0,0,0,0,0
269,1,1,3,1804.0,3.0,2.0,120.0,0,0,0,0,0,0,0,0,0,0
270,1,1,2,913.0,2.0,1.0,32.0,0,0,0,0,0,0,0,0,0,0
271,1,0,3,1868.0,3.0,2.0,131.0,0,0,0,0,0,0,0,0,0,0
272,2,1,2,883.0,2.0,1.0,45.0,0,0,0,0,0,0,0,0,0,0
273,3,1,2,900.0,2.0,1.0,110.0,0,0,0,0,0,0,0,0,0,0
274,1,1,3,1664.0,2.0,3.0,73.95,0,0,0,0,0,0,0,0,0,0
275,1,1,3,2026.0,3.0,2.0,132.0,0,0,0,0,0,0,0,0,0,0
276,1,1,2,1210.0,2.0,1.0,80.9,0,0,0,0,0,0,0,0,0,0
277,3,1,4,4111.0,4.0,2.0,250.0,0,0,0,0,0,0,0,0,0,0
278,1,1,3,1762.0,3.0,3.0,91.45,0,0,0,0,0,0,0,0,0,0
279,1,1,3,1252.0,3.0,3.0,55.0,0,0,0,0,0,0,0,0,0,0
280,2,1,2,861.0,2.0,1.0,34.5,0,0,0,0,0,0,0,0,0,0
281,2,1,3,1420.0,2.0,1.0,100.0,0,0,0,0,0,0,0,0,0,0
282,3,1,6,1450.0,6.0,0.0,250.0,0,0,0,0,0,0,0,0,0,0
283,2,1,3,1490.0,3.0,1.0,78.8,0,0,0,0,0,0,0,0,0,0
284,1,1,3,1075.0,2.0,1.0,46.0,0,0,0,0,0,0,0,0,0,0
285,1,0,3,1425.0,2.0,2.0,94.0,0,0,0,0,0,0,0,0,0,0
286,2,1,2,1200.0,2.0,1.0,40.0,0,0,0,0,0,0,0,0,0,0
287,1,1,3,1280.0,2.0,2.0,56.0,0,0,0,0,0,0,0,0,0,0
288,1,1,2,1084.0,2.0,2.0,50.0,0,0,0,0,0,0,0,0,0,0
289,1,0,2,1015.0,2.0,2.0,25.88,0,0,0,0,0,0,0,0,0,0
290,1,0,2,1017.0,2.0,1.0,51.25,0,0,1,0,0,0,0,0,0,0
291,1,1,2,1027.0,2.0,2.0,44.0,0,0,0,0,0,0,0,0,0,0
292,1,1,2,1069.0,2.0,2.0,45.0,0,0,0,0,0,0,0,0,0,0
293,1,1,2,1349.0,2.0,1.0,98.2,0,1,0,0,0,0,0,0,0,0
294,1,1,2,1005.0,2.0,1.0,50.0,0,0,0,0,0,0,0,0,0,0
295,1,1,2,1417.0,2.0,3.0,75.0,0,0,0,0,0,0,0,0,0,0
296,3,0,3,1475.0,3.0,1.0,98.0,0,0,0,0,0,0,0,0,0,0
297,4,1,2,950.0,2.0,2.0,47.0,0,0,0,0,0,0,0,0,0,0
298,1,1,4,2000.0,4.0,0.0,120.0,0,0,0,0,0,0,0,0,0,0
299,3,1,3,880.0,3.0,1.0,140.0,0,0,0,0,0,0,0,0,0,0
300,1,1,4,1863.0,3.0,2.0,104.0,0,0,0,0,0,1,0,0,0,0
301,1,1,2,1010.0,2.0,1.0,29.5,0,0,0,0,0,0,0,0,0,0
302,1,1,3,1425.0,2.0,1.0,70.0,0,0,0,0,0,0,0,0,0,0
303,1,1,3,1450.0,3.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0
304,1,1,3,1847.0,3.0,2.0,105.0,0,0,0,0,0,0,0,0,0,0
305,1,1,2,1100.0,2.0,3.0,45.0,0,0,0,0,0,0,0,0,0,0
306,1,0,1,525.0,1.0,1.0,26.0,0,0,1,0,0,0,0,0,0,0
307,1,1,3,1665.0,3.0,2.0,95.0,0,0,0,0,0,0,0,0,0,0
308,1,1,4,1664.0,4.0,3.0,65.0,0,0,0,0,0,0,0,0,0,0
